#REFERENCE 0 217.4783710 12.0432340
1.1 217.4773600 12.0435058 0.284414 0.019233 106.22555 2.8240 0.66 
1.1 217.4789808 12.0439238 0.317306 0.028996 43.91463 2.8240 0.09 
1.1 217.4783937 12.0431779 0.042936 0.003957 80.34705 2.8240 4.42 
1.1 217.4785032 12.0428299 0.130117 0.017163 62.53800 2.8240 1.63 
1.1 217.4783709 12.0440410 0.100003 0.099998 136.75986 2.8240 -0.00 
1.2 217.4773582 12.0435041 0.286958 0.020341 118.20711 2.8240 0.58 
1.2 217.4783771 12.0440410 0.343831 0.031497 9.58137 2.8240 -0.09 
1.2 217.4783939 12.0431780 0.032172 0.005660 102.78055 2.8240 4.35 
1.2 217.4785043 12.0428300 0.114080 0.021010 33.65336 2.8240 1.55 
1.2 217.4789774 12.0439246 0.099999 0.099989 114.98857 2.8240 0.00 
1.3 217.4784018 12.0440412 0.559407 0.035423 175.25858 2.8240 -0.74 
1.3 217.4789617 12.0439297 0.524585 0.035325 26.12064 2.8240 -0.67 
1.3 217.4783949 12.0431781 0.031867 0.009985 43.48154 2.8240 3.74 
1.3 217.4785083 12.0428314 0.103615 0.040347 118.26364 2.8240 0.95 
1.3 217.4773522 12.0434997 0.100006 0.099998 141.81636 2.8240 -0.00 
1.4 217.4784706 12.0440516 0.864018 0.075637 2.24471 2.8240 -2.04 
1.4 217.4788853 12.0439705 0.729043 0.084947 20.64902 2.8240 -1.98 
1.4 217.4773484 12.0435227 0.255278 0.096102 123.43695 2.8240 -0.97 
1.4 217.4783980 12.0431729 0.035792 0.024198 65.05043 2.8240 2.66 
1.4 217.4785086 12.0428486 0.100006 0.099997 162.75102 2.8240 -0.00 
20.3 217.4788937 12.0439815 0.669654 0.032353 22.71541 2.8240 -0.84 
20.3 217.4784223 12.0440635 0.698471 0.033831 176.42472 2.8240 -0.93 
20.3 217.4783972 12.0431681 0.037294 0.009658 48.26068 2.8240 3.61 
20.3 217.4784961 12.0428583 0.105231 0.035582 109.11017 2.8240 1.07 
20.3 217.4773679 12.0435577 0.100003 0.099999 142.04705 2.8240 -0.00 
20.4 217.4773555 12.0435813 0.293617 0.091005 130.79443 2.8240 -1.07 
20.4 217.4784032 12.0431598 0.040443 0.029341 62.22144 2.8240 2.31 
20.4 217.4784992 12.0428845 0.100002 0.099997 73.76179 2.8240 0.00 
30.1 217.4773152 12.0433193 0.250222 0.026928 96.92869 2.8240 0.43 
30.1 217.4790959 12.0437701 0.292403 0.036567 55.23762 2.8240 -0.07 
30.1 217.4783914 12.0432032 0.031960 0.005455 82.74992 2.8240 4.40 
30.1 217.4785594 12.0427606 0.121903 0.033193 47.64102 2.8240 0.98 
30.1 217.4784030 12.0439716 0.100000 0.099993 90.30756 2.8240 0.00 
30.2 217.4784614 12.0439654 0.270550 0.033897 15.42005 2.8240 0.09 
30.2 217.4772979 12.0433025 0.193674 0.028079 115.02492 2.8240 0.66 
30.2 217.4785808 12.0427657 0.131789 0.026445 4.06303 2.8240 1.14 
30.2 217.4783943 12.0432046 0.022399 0.006564 119.18575 2.8240 4.58 
30.2 217.4790663 12.0437750 0.100007 0.100000 60.32404 2.8240 -0.00 
