#REFERENCE 3 217.4783710 12.0432340
1.1 0.492 0.478 0.064 0.009 87.25 2.824 3.14 3.560 0.979 2.48 0.66
1.1 0.492 0.478 0.064 0.009 87.25 2.824 3.14 -2.147 2.483 3.05 0.09
1.1 0.492 0.478 0.064 0.009 87.25 2.824 3.14 -0.080 -0.202 -1.29 4.42
1.1 0.492 0.478 0.064 0.009 87.25 2.824 3.14 -0.465 -1.455 1.51 1.63
1.1 0.492 0.478 0.064 0.009 87.25 2.824 3.14 0.000 2.905 3.14 -0.00
1.2 0.494 0.477 0.057 0.010 116.37 2.824 3.06 3.566 0.972 2.48 0.58
1.2 0.494 0.477 0.057 0.010 116.37 2.824 3.06 -0.021 2.905 3.15 -0.09
1.2 0.494 0.477 0.057 0.010 116.37 2.824 3.06 -0.081 -0.202 -1.29 4.35
1.2 0.494 0.477 0.057 0.010 116.37 2.824 3.06 -0.469 -1.454 1.51 1.55
1.2 0.494 0.477 0.057 0.010 116.37 2.824 3.06 -2.135 2.486 3.06 0.00
1.3 0.501 0.476 0.052 0.020 28.95 2.824 2.46 -0.108 2.906 3.20 -0.74
1.3 0.501 0.476 0.052 0.020 28.95 2.824 2.46 -2.080 2.505 3.13 -0.67
1.3 0.501 0.476 0.052 0.020 28.95 2.824 2.46 -0.084 -0.201 -1.28 3.74
1.3 0.501 0.476 0.052 0.020 28.95 2.824 2.46 -0.483 -1.450 1.51 0.95
1.3 0.501 0.476 0.052 0.020 28.95 2.824 2.46 3.587 0.957 2.46 -0.00
1.4 0.518 0.501 0.054 0.048 163.42 2.824 1.48 -0.351 2.943 3.52 -2.04
1.4 0.518 0.501 0.054 0.048 163.42 2.824 1.48 -1.811 2.651 3.46 -1.98
1.4 0.518 0.501 0.054 0.048 163.42 2.824 1.48 3.600 1.039 2.46 -0.97
1.4 0.518 0.501 0.054 0.048 163.42 2.824 1.48 -0.095 -0.220 -1.18 2.66
1.4 0.518 0.501 0.054 0.048 163.42 2.824 1.48 -0.484 -1.387 1.48 -0.00
20.3 0.507 0.526 0.053 0.019 32.83 2.824 2.52 -1.840 2.691 3.36 -0.84
20.3 0.507 0.526 0.053 0.019 32.83 2.824 2.52 -0.181 2.986 3.45 -0.93
20.3 0.507 0.526 0.053 0.019 32.83 2.824 2.52 -0.092 -0.237 -1.09 3.61
20.3 0.507 0.526 0.053 0.019 32.83 2.824 2.52 -0.441 -1.352 1.45 1.07
20.3 0.507 0.526 0.053 0.019 32.83 2.824 2.52 3.532 1.165 2.52 -0.00
20.4 0.539 0.558 0.062 0.044 162.82 2.824 1.42 3.575 1.250 2.49 -1.07
20.4 0.539 0.558 0.062 0.044 162.82 2.824 1.42 -0.113 -0.267 -0.90 2.31
20.4 0.539 0.558 0.062 0.044 162.82 2.824 1.42 -0.451 -1.258 1.42 0.00
30.1 0.498 0.317 0.063 0.013 89.04 2.824 2.74 3.717 0.307 2.31 0.43
30.1 0.498 0.317 0.063 0.013 89.04 2.824 2.74 -2.552 1.930 2.81 -0.07
30.1 0.498 0.317 0.063 0.013 89.04 2.824 2.74 -0.072 -0.111 -1.66 4.40
30.1 0.498 0.317 0.063 0.013 89.04 2.824 2.74 -0.663 -1.704 1.76 0.98
30.1 0.498 0.317 0.063 0.013 89.04 2.824 2.74 -0.113 2.655 2.74 0.00
30.2 0.523 0.305 0.052 0.013 126.32 2.824 2.93 -0.318 2.633 2.84 0.09
30.2 0.523 0.305 0.052 0.013 126.32 2.824 2.93 3.778 0.247 2.27 0.66
30.2 0.523 0.305 0.052 0.013 126.32 2.824 2.93 -0.739 -1.686 1.79 1.14
30.2 0.523 0.305 0.052 0.013 126.32 2.824 2.93 -0.082 -0.106 -1.65 4.58
30.2 0.523 0.305 0.052 0.013 126.32 2.824 2.93 -2.448 1.948 2.93 -0.00
30.3 0.497 0.304 0.049 0.025 13.31 2.824 2.31 -0.109 2.635 2.71 -0.40
30.3 0.497 0.304 0.049 0.025 13.31 2.824 2.31 -2.587 1.880 2.79 -0.49
30.3 0.497 0.304 0.049 0.025 13.31 2.824 2.31 -0.679 -1.723 1.78 0.52
30.3 0.497 0.304 0.049 0.025 13.31 2.824 2.31 -0.071 -0.104 -1.68 3.98
30.3 0.497 0.304 0.049 0.025 13.31 2.824 2.31 3.722 0.257 2.31 -0.00
30.4 0.513 0.311 0.054 0.036 71.27 2.824 1.77 -2.487 1.946 2.88 -1.11
30.4 0.513 0.311 0.054 0.036 71.27 2.824 1.77 -0.235 2.646 2.80 -1.03
30.4 0.513 0.311 0.054 0.036 71.27 2.824 1.77 3.753 0.276 2.29 -0.52
30.4 0.513 0.311 0.054 0.036 71.27 2.824 1.77 -0.078 -0.109 -1.65 3.42
30.4 0.513 0.311 0.054 0.036 71.27 2.824 1.77 -0.706 -1.692 1.77 -0.00
2.1 0.498 0.547 0.065 0.007 87.60 2.824 3.41 3.469 1.272 2.58 0.83
2.1 0.498 0.547 0.065 0.007 87.60 2.824 3.41 -0.090 -0.252 -1.02 4.42
2.1 0.498 0.547 0.065 0.007 87.60 2.824 3.41 -1.869 2.721 3.27 0.13
2.1 0.498 0.547 0.065 0.007 87.60 2.824 3.41 -0.406 -1.323 1.43 1.98
2.1 0.498 0.547 0.065 0.007 87.60 2.824 3.41 -0.030 3.014 3.41 -0.00
2.2 0.494 0.542 0.059 0.009 112.31 2.824 3.20 3.464 1.257 2.58 0.62
2.2 0.494 0.542 0.059 0.009 112.31 2.824 3.20 0.028 3.003 3.34 -0.14
