#REFERENCE 3 217.4783710 12.0432340
1	-1.875000	-2.657136	0.308581	-0.451039	
1	-1.888621	-2.636719	0.311908	-0.444072	
2	-1.888621	-2.636719	0.311908	-0.444072	
2	-1.925628	-2.578125	0.321685	-0.424122	
3	-1.933594	-2.564808	0.323958	-0.419592	
3	-1.959966	-2.519531	0.331765	-0.404322	
4	-1.933594	-2.564808	0.323958	-0.419592	
4	-1.925628	-2.578125	0.321685	-0.424122	
5	-1.959966	-2.519531	0.331765	-0.404322	
5	-1.991706	-2.460938	0.342150	-0.384668	
6	-1.992188	-2.460001	0.342319	-0.384354	
6	-1.991706	-2.460938	0.342150	-0.384668	
7	-1.992188	-2.460001	0.342319	-0.384354	
7	-2.021198	-2.402344	0.352802	-0.365232	
8	-2.021198	-2.402344	0.352802	-0.365232	
8	-2.048329	-2.343750	0.363745	-0.345975	
9	-2.109375	-2.191586	0.393329	-0.297168	
9	-2.117901	-2.167969	0.398031	-0.289817	
10	-2.117901	-2.167969	0.398031	-0.289817	
10	-2.137540	-2.109375	0.409891	-0.271737	
11	-2.050781	-2.338124	0.364816	-0.344128	
11	-2.073517	-2.285156	0.374924	-0.326995	
12	-2.050781	-2.338124	0.364816	-0.344128	
12	-2.048329	-2.343750	0.363745	-0.345975	
13	-2.073517	-2.285156	0.374924	-0.326995	
13	-2.096628	-2.226562	0.386364	-0.308256	
14	-2.109375	-2.191586	0.393329	-0.297168	
14	-2.096628	-2.226562	0.386364	-0.308256	
15	-2.137540	-2.109375	0.409891	-0.271737	
15	-2.155459	-2.050781	0.421959	-0.253999	
16	-2.167969	-2.006185	0.431281	-0.240738	
16	-2.155459	-2.050781	0.421959	-0.253999	
17	-2.167969	-2.006185	0.431281	-0.240738	
17	-2.171887	-1.992188	0.434195	-0.236670	
18	-2.171887	-1.992188	0.434195	-0.236670	
18	-2.187162	-1.933594	0.446530	-0.219851	
19	-2.187162	-1.933594	0.446530	-0.219851	
19	-2.201166	-1.875000	0.458977	-0.203523	
20	-1.054688	-3.350322	0.223592	-0.685934	
20	-0.996094	-3.375187	0.221930	-0.693325	
21	-0.996094	-3.375187	0.221930	-0.693325	
21	-0.937500	-3.397581	0.220584	-0.699654	
22	-1.054688	-3.350322	0.223592	-0.685934	
22	-1.077316	-3.339844	0.224355	-0.682667	
23	-1.113281	-3.323130	0.225571	-0.677603	
23	-1.077316	-3.339844	0.224355	-0.682667	
24	-1.171875	-3.293382	0.227921	-0.668224	
24	-1.113281	-3.323130	0.225571	-0.677603	
25	-1.171875	-3.293382	0.227921	-0.668224	
25	-1.193969	-3.281250	0.228948	-0.664268	
26	-1.289062	-3.225815	0.233883	-0.646237	
26	-1.293989	-3.222656	0.234186	-0.645172	
27	-1.347656	-3.187767	0.237576	-0.633585	
27	-1.293989	-3.222656	0.234186	-0.645172	
28	-1.347656	-3.187767	0.237576	-0.633585	
28	-1.381537	-3.164062	0.240014	-0.625553	
29	-1.289062	-3.225815	0.233883	-0.646237	
29	-1.230469	-3.261038	0.230669	-0.657812	
30	-1.230469	-3.261038	0.230669	-0.657812	
30	-1.193969	-3.281250	0.228948	-0.664268	
31	-1.406250	-3.146472	0.241846	-0.619663	
31	-1.381537	-3.164062	0.240014	-0.625553	
32	-1.406250	-3.146472	0.241846	-0.619663	
32	-1.460054	-3.105469	0.246339	-0.605690	
33	-1.464844	-3.101741	0.246753	-0.604431	
33	-1.460054	-3.105469	0.246339	-0.605690	
34	-1.523438	-3.053361	0.252365	-0.587847	
34	-1.464844	-3.101741	0.246753	-0.604431	
35	-1.523438	-3.053361	0.252365	-0.587847	
35	-1.530859	-3.046875	0.253147	-0.585599	
36	-1.582031	-3.000921	0.258788	-0.569773	
36	-1.595356	-2.988281	0.260396	-0.565384	
37	-1.582031	-3.000921	0.258788	-0.569773	
37	-1.530859	-3.046875	0.253147	-0.585599	
38	-1.640625	-2.943966	0.266146	-0.550073	
38	-1.595356	-2.988281	0.260396	-0.565384	
39	-1.640625	-2.943966	0.266146	-0.550073	
39	-1.654494	-2.929688	0.268057	-0.545111	
40	-1.699219	-2.881951	0.274584	-0.528589	
40	-1.708934	-2.871094	0.276109	-0.524820	
41	-1.699219	-2.881951	0.274584	-0.528589	
41	-1.654494	-2.929688	0.268057	-0.545111	
42	-1.757812	-2.814177	0.284288	-0.505124	
42	-1.708934	-2.871094	0.276109	-0.524820	
43	-1.757812	-2.814177	0.284288	-0.505124	
43	-1.759194	-2.812500	0.284534	-0.504544	
44	-0.703125	-3.466136	0.217498	-0.716229	
44	-0.644531	-3.478227	0.217190	-0.718227	
45	-0.644531	-3.478227	0.217190	-0.718227	
45	-0.585938	-3.488323	0.217029	-0.719354	
46	-0.585938	-3.488323	0.217029	-0.719354	
46	-0.527344	-3.496479	0.216992	-0.719634	
47	-0.527344	-3.496479	0.216992	-0.719634	
47	-0.468750	-3.502738	0.217059	-0.719086	
48	-0.878906	-3.417982	0.219471	-0.705201	
48	-0.820312	-3.436126	0.218609	-0.709773	
49	-0.878906	-3.417982	0.219471	-0.705201	
49	-0.935033	-3.398438	0.220538	-0.699877	
