#REFERENCE 0 217.4783710 12.0432340
21 217.4793580 12.0430920 0.0000 0.0000 -84.00 0.00
21 217.4793580 12.0430920 0.4396 0.4094 -84.00 0.06
22 217.4711660 12.0230900 0.0000 0.0000 49.00 0.00
22 217.471166 12.023090 0.0000 0.0000 49.00 0.00
22 217.4711660 12.0230900 0.0000 0.0000 49.00 0.00
22 217.4711660 12.0230900 0.4623 0.3743 49.00 0.05
23 217.4808810 12.0225670 0.0000 0.0000 -74.50 0.00
23 217.480881 12.022567 0.0000 0.0000 -74.50 0.00
23 217.4808810 12.0225670 0.0000 0.0000 -74.50 0.00
23 217.4808810 12.0225670 0.6307 0.3246 -74.50 0.05
24 217.4911400 12.0293750 0.0000 0.0000 19.80 0.00
24 217.491140 12.029375 0.0000 0.0000 19.80 0.00
24 217.4911400 12.0293750 0.0000 0.0000 19.80 0.00
24 217.4911400 12.0293750 0.7255 0.3136 19.80 0.05
25 217.4642670 12.0281250 0.0000 0.0000 -18.30 0.00
25 217.464267 12.028125 0.0000 0.0000 -18.30 0.00
25 217.4642670 12.0281250 0.0000 0.0000 -18.30 0.00
25 217.4642670 12.0281250 0.5762 0.3205 -18.30 0.04
26 217.4808460 12.0521030 0.0000 0.0000 -32.30 0.00
26 217.480846 12.052103 0.0000 0.0000 -32.30 0.00
26 217.4808460 12.0521030 0.0000 0.0000 -32.30 0.00
26 217.4808460 12.0521030 0.5373 0.3273 -32.30 0.04
27 217.4765900 12.0510680 0.0000 0.0000 -70.80 0.00
27 217.476590 12.051068 0.0000 0.0000 -70.80 0.00
27 217.4765900 12.0510680 0.0000 0.0000 -70.80 0.00
27 217.4765900 12.0510680 0.4043 0.3519 -70.80 0.04
28 217.4683980 12.0298150 0.0000 0.0000 -83.00 0.00
28 217.468398 12.029815 0.0000 0.0000 -83.00 0.00
28 217.4683980 12.0298150 0.0000 0.0000 -83.00 0.00
28 217.4683980 12.0298150 0.3613 0.3417 -83.00 0.03
